epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,358.639,1.02072,0.57354,0.9736,0.84128,0.87033,0.9112,0.5741,1.33766,0.79643,1.08782,0.000540037,0.000540037,0.000540037
43,366.668,0.99034,0.54201,0.94705,0.89093,0.85396,0.92319,0.56686,1.32341,0.69764,1.07623,0.000531038,0.000531038,0.000531038
44,376.832,0.96143,0.53989,0.96489,0.92147,0.90032,0.95398,0.58854,1.42395,0.73537,1.14816,0.000522039,0.000522039,0.000522039
45,385.052,1.00023,0.54128,0.97483,0.87111,0.92833,0.93443,0.59737,1.35281,0.68294,1.10359,0.00051304,0.00051304,0.00051304
46,394.57,0.97007,0.53597,0.97622,0.85326,0.95271,0.93883,0.59425,1.34361,0.79379,1.11863,0.00050404,0.00050404,0.00050404
47,404.498,0.98967,0.54158,0.94999,0.86945,0.87944,0.91713,0.58555,1.37631,0.81673,1.11561,0.000495041,0.000495041,0.000495041
48,413.342,0.98459,0.5483,0.94911,0.82998,0.92734,0.90874,0.59456,1.31812,0.76544,1.07082,0.000486042,0.000486042,0.000486042
49,419.874,0.9679,0.54243,0.96042,0.9034,0.92133,0.93848,0.61606,1.33118,0.73244,1.0549,0.000477043,0.000477043,0.000477043
50,429.534,0.96179,0.5207,0.95179,0.8611,0.93861,0.94311,0.62209,1.30629,0.72928,1.05439,0.000468044,0.000468044,0.000468044
51,437.387,0.94224,0.50569,0.9346,0.89815,0.91959,0.95214,0.61583,1.31142,0.69896,1.05502,0.000459045,0.000459045,0.000459045
52,447.419,0.90046,0.49642,0.93797,0.90559,0.93719,0.95375,0.6072,1.32073,0.70951,1.08424,0.000450046,0.000450046,0.000450046
53,456.244,0.93878,0.49588,0.9406,0.89808,0.88672,0.933,0.60699,1.32119,0.6654,1.06639,0.000441047,0.000441047,0.000441047
54,462.996,0.95162,0.51093,0.946,0.9198,0.86308,0.92853,0.59795,1.3077,0.72353,1.08731,0.000432048,0.000432048,0.000432048
55,471.522,0.88267,0.48222,0.93643,0.90805,0.90548,0.94076,0.60268,1.35074,0.73201,1.0959,0.000423049,0.000423049,0.000423049
56,482.028,0.92047,0.50564,0.93523,0.90548,0.95159,0.93943,0.61453,1.39653,0.72565,1.09259,0.000414049,0.000414049,0.000414049
57,490.624,0.93849,0.51348,0.9449,0.89161,0.91543,0.93362,0.61268,1.31681,0.66561,1.06335,0.00040505,0.00040505,0.00040505
58,501.192,0.93198,0.50432,0.94166,0.94949,0.9238,0.94654,0.62779,1.37828,0.68129,1.10023,0.000396051,0.000396051,0.000396051
59,510.612,0.92565,0.5037,0.94322,0.90559,0.9288,0.94859,0.62787,1.32654,0.65079,1.07313,0.000387052,0.000387052,0.000387052
60,519.486,0.90833,0.48531,0.9247,0.93332,0.93699,0.95868,0.64369,1.36324,0.63959,1.08178,0.000378053,0.000378053,0.000378053
61,527.49,0.88562,0.47676,0.92057,0.92969,0.93216,0.96152,0.64709,1.3637,0.65638,1.07734,0.000369054,0.000369054,0.000369054
62,537.406,0.84002,0.45875,0.89896,0.92974,0.92007,0.95847,0.62664,1.34909,0.6849,1.08476,0.000360055,0.000360055,0.000360055
63,546.355,0.88414,0.46412,0.91267,0.92344,0.94732,0.96582,0.63332,1.38269,0.70117,1.10507,0.000351056,0.000351056,0.000351056
64,559.491,0.90221,0.47621,0.93848,0.95372,0.93006,0.96151,0.63334,1.35296,0.67388,1.09513,0.000342057,0.000342057,0.000342057
65,566.544,0.87656,0.46332,0.91449,0.94416,0.92004,0.96811,0.63289,1.37288,0.64485,1.11219,0.000333058,0.000333058,0.000333058
66,574.998,0.86966,0.45418,0.92463,0.93546,0.91284,0.96934,0.64908,1.35612,0.65179,1.10695,0.000324058,0.000324058,0.000324058
67,584.254,0.85096,0.45043,0.9064,0.91675,0.95387,0.96474,0.65354,1.34365,0.68306,1.10224,0.000315059,0.000315059,0.000315059
68,593.034,0.83605,0.45208,0.90438,0.96129,0.93499,0.97706,0.65056,1.39948,0.68529,1.13676,0.00030606,0.00030606,0.00030606
69,601.235,0.86626,0.45309,0.92263,0.92665,0.95329,0.97258,0.6462,1.37406,0.72508,1.11881,0.000297061,0.000297061,0.000297061
70,607.629,0.83927,0.43696,0.91997,0.92068,0.94999,0.97001,0.64915,1.36533,0.69631,1.09687,0.000288062,0.000288062,0.000288062
71,616.33,0.8507,0.45472,0.91531,0.91448,0.94536,0.96917,0.6584,1.37753,0.6791,1.09974,0.000279063,0.000279063,0.000279063
72,625.239,0.83059,0.43277,0.90561,0.92892,0.93049,0.96739,0.652,1.42487,0.77921,1.11928,0.000270064,0.000270064,0.000270064
73,632.776,0.8049,0.43228,0.92018,0.94846,0.9168,0.96832,0.64256,1.49992,0.7857,1.15639,0.000261065,0.000261065,0.000261065
74,641.409,0.81302,0.42902,0.89625,0.93999,0.93435,0.9698,0.6492,1.46308,0.74932,1.13509,0.000252066,0.000252066,0.000252066
75,649.942,0.82765,0.43682,0.91175,0.93076,0.95066,0.97001,0.64176,1.38179,0.71244,1.09725,0.000243067,0.000243067,0.000243067
76,659.522,0.7978,0.42676,0.89851,0.93121,0.93762,0.96973,0.63863,1.39494,0.6987,1.10508,0.000234068,0.000234068,0.000234068
77,666.889,0.79533,0.42011,0.90416,0.9606,0.93573,0.96848,0.65498,1.34355,0.68418,1.08521,0.000225068,0.000225068,0.000225068
78,674.254,0.8082,0.41542,0.90068,0.95028,0.94923,0.97086,0.64519,1.32716,0.6834,1.07892,0.000216069,0.000216069,0.000216069
79,682.992,0.76968,0.40117,0.89111,0.95142,0.94989,0.97243,0.65237,1.341,0.69446,1.09028,0.00020707,0.00020707,0.00020707
80,692.619,0.78444,0.41125,0.89992,0.92636,0.94449,0.97127,0.66398,1.35241,0.7019,1.08985,0.000198071,0.000198071,0.000198071
81,700.917,0.79609,0.41591,0.89271,0.94549,0.94295,0.9719,0.66171,1.3262,0.68465,1.08296,0.000189072,0.000189072,0.000189072
82,709.799,0.7626,0.40723,0.89082,0.93355,0.93451,0.97017,0.66084,1.34015,0.71337,1.09906,0.000180073,0.000180073,0.000180073
83,717.627,0.76603,0.40341,0.89174,0.95169,0.94312,0.97326,0.6607,1.34662,0.71408,1.10733,0.000171074,0.000171074,0.000171074
84,727.263,0.75189,0.39681,0.88752,0.9575,0.95205,0.97446,0.66486,1.31482,0.65671,1.08472,0.000162075,0.000162075,0.000162075
85,735.653,0.7631,0.39533,0.88123,0.94045,0.95202,0.97432,0.67264,1.31504,0.67208,1.07814,0.000153076,0.000153076,0.000153076
86,744.388,0.75204,0.40155,0.89242,0.92669,0.95368,0.97368,0.67279,1.33454,0.67923,1.0848,0.000144077,0.000144077,0.000144077
87,752.587,0.7368,0.39815,0.89035,0.92058,0.94654,0.96581,0.67274,1.35233,0.67062,1.09557,0.000135077,0.000135077,0.000135077
88,762.619,0.74321,0.40093,0.88858,0.94672,0.94117,0.96912,0.66584,1.35664,0.7095,1.10016,0.000126078,0.000126078,0.000126078
89,773.239,0.73095,0.389,0.88318,0.94093,0.94342,0.97077,0.66531,1.37683,0.72016,1.10672,0.000117079,0.000117079,0.000117079
90,785.008,0.71875,0.39021,0.8831,0.94062,0.94424,0.97129,0.67671,1.37606,0.73204,1.10985,0.00010808,0.00010808,0.00010808
91,813.481,0.75817,0.39491,0.88704,0.93955,0.94239,0.97106,0.67125,1.36115,0.73102,1.10789,9.9081e-05,9.9081e-05,9.9081e-05
92,821.859,0.74528,0.38448,0.88422,0.94821,0.94048,0.97353,0.67814,1.33418,0.7418,1.08606,9.00819e-05,9.00819e-05,9.00819e-05
93,829.396,0.73795,0.38231,0.88523,0.94673,0.94134,0.97376,0.66989,1.35764,0.75018,1.10337,8.10828e-05,8.10828e-05,8.10828e-05
94,837.498,0.72311,0.37664,0.87737,0.94333,0.94461,0.97473,0.66656,1.35259,0.73752,1.10467,7.20837e-05,7.20837e-05,7.20837e-05
95,845.426,0.7302,0.37414,0.87383,0.94273,0.94412,0.97345,0.67585,1.35378,0.75049,1.109,6.30846e-05,6.30846e-05,6.30846e-05
96,853.433,0.70949,0.35974,0.87048,0.94697,0.9422,0.97376,0.66985,1.36617,0.77434,1.12616,5.40855e-05,5.40855e-05,5.40855e-05
97,861.275,0.70943,0.3612,0.87074,0.94801,0.94142,0.97312,0.67514,1.37294,0.79307,1.13707,4.50864e-05,4.50864e-05,4.50864e-05
98,870.161,0.70839,0.3599,0.8671,0.94916,0.94257,0.97252,0.67363,1.37017,0.7767,1.13673,3.60873e-05,3.60873e-05,3.60873e-05
99,877.831,0.71242,0.37167,0.86956,0.95034,0.9421,0.97256,0.67947,1.36669,0.73536,1.13628,2.70882e-05,2.70882e-05,2.70882e-05
100,884.544,0.70351,0.36081,0.87322,0.94761,0.95347,0.97294,0.67913,1.37807,0.73019,1.13895,1.80891e-05,1.80891e-05,1.80891e-05
