epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.5025,1.72478,4.04476,1.24942,0.50796,0.5392,0.38751,0.21301,1.55476,2.33027,1.20186,0.0001,0.0001,0.0001
2,4.7458,1.4182,1.73013,1.15593,0.63152,0.76084,0.72794,0.43548,1.51424,2.04465,1.23448,0.000208293,0.000208293,0.000208293
3,6.92928,1.35572,1.39533,1.14059,0.74385,0.7848,0.81377,0.48868,1.54655,1.57782,1.23576,0.00031213,0.00031213,0.00031213
4,9.07034,1.38002,1.20208,1.10875,0.73414,0.83347,0.85191,0.50958,1.54983,1.32335,1.24015,0.000411512,0.000411512,0.000411512
5,11.2716,1.31387,1.07275,1.08955,0.87184,0.74118,0.84128,0.5085,1.53996,1.06549,1.24216,0.00050644,0.00050644,0.00050644
6,13.3056,1.28887,0.97852,1.08755,0.87642,0.77492,0.88384,0.53726,1.51938,1.04356,1.25574,0.000596913,0.000596913,0.000596913
7,15.414,1.27797,0.88214,1.09291,0.84692,0.82911,0.89837,0.54253,1.55962,1.05534,1.28795,0.00068293,0.00068293,0.00068293
8,17.4796,1.30755,0.85227,1.10974,0.91029,0.8821,0.92516,0.54705,1.61246,1.18307,1.30551,0.000764493,0.000764493,0.000764493
9,19.5166,1.28614,0.85124,1.07431,0.89252,0.85816,0.92175,0.53523,1.61424,1.07328,1.30434,0.0008416,0.0008416,0.0008416
10,21.5403,1.27993,0.80018,1.08183,0.78838,0.85988,0.89365,0.50678,1.59552,1.10654,1.26222,0.000914253,0.000914253,0.000914253
11,23.5584,1.25795,0.78331,1.06421,0.83635,0.86941,0.91556,0.55332,1.52969,0.99124,1.21336,0.00098245,0.00098245,0.00098245
12,25.7824,1.22599,0.73772,1.06389,0.92786,0.77352,0.89475,0.55383,1.52913,1.04508,1.25761,0.00097775,0.00097775,0.00097775
13,27.8372,1.24391,0.74433,1.08603,0.84248,0.80266,0.86472,0.52335,1.4786,1.09245,1.22148,0.000953,0.000953,0.000953
14,29.8579,1.21717,0.7092,1.07761,0.83001,0.86577,0.91799,0.55403,1.53905,0.9606,1.26267,0.00092825,0.00092825,0.00092825
15,31.9344,1.16543,0.68307,1.03764,0.89474,0.80657,0.91543,0.54762,1.62169,0.99371,1.29027,0.0009035,0.0009035,0.0009035
16,34.0115,1.2246,0.69781,1.07679,0.83267,0.84506,0.92425,0.54639,1.52883,0.92189,1.25463,0.00087875,0.00087875,0.00087875
17,36.0295,1.15978,0.67691,1.05158,0.80271,0.87162,0.92396,0.57026,1.51483,0.87463,1.24768,0.000854,0.000854,0.000854
18,38.093,1.19061,0.67979,1.03059,0.94574,0.87062,0.96301,0.59437,1.52226,0.87009,1.26556,0.00082925,0.00082925,0.00082925
19,40.144,1.25919,0.67097,1.06577,0.92186,0.89617,0.94202,0.59846,1.51602,0.88839,1.22769,0.0008045,0.0008045,0.0008045
20,42.2815,1.15793,0.64182,1.04508,0.9403,0.90668,0.95137,0.60597,1.47573,0.802,1.22429,0.00077975,0.00077975,0.00077975
21,44.3254,1.16793,0.62499,1.0405,0.9226,0.92009,0.95445,0.58119,1.48339,0.7747,1.2346,0.000755,0.000755,0.000755
22,46.538,1.13386,0.61933,1.02287,0.92709,0.91654,0.95145,0.59259,1.46135,0.79279,1.24145,0.00073025,0.00073025,0.00073025
23,48.5391,1.1012,0.61506,1.01733,0.90459,0.93354,0.94934,0.59664,1.48396,0.94995,1.22046,0.0007055,0.0007055,0.0007055
24,50.5549,1.1116,0.60345,1.03362,0.9336,0.91982,0.95799,0.59894,1.44979,0.97113,1.20521,0.00068075,0.00068075,0.00068075
25,52.5789,1.14251,0.60959,1.02635,0.91903,0.91967,0.95583,0.60323,1.48889,0.91476,1.21531,0.000656,0.000656,0.000656
26,54.5973,1.08578,0.59248,1.01603,0.95382,0.919,0.95928,0.6021,1.5063,0.89856,1.2328,0.00063125,0.00063125,0.00063125
27,56.6431,1.02424,0.56233,0.99638,0.91118,0.92984,0.95176,0.60445,1.54047,0.89062,1.23853,0.0006065,0.0006065,0.0006065
28,58.6677,1.06766,0.55788,1.04728,0.91638,0.91824,0.95578,0.59893,1.57822,0.98034,1.25304,0.00058175,0.00058175,0.00058175
29,60.6627,1.12013,0.55739,1.02028,0.91305,0.91962,0.97005,0.6269,1.54593,0.99474,1.25094,0.000557,0.000557,0.000557
30,62.7,1.05566,0.55238,0.99477,0.91032,0.91679,0.96537,0.62175,1.5836,0.91631,1.27392,0.00053225,0.00053225,0.00053225
31,64.7167,1.05134,0.54261,0.98345,0.92416,0.93036,0.96536,0.6243,1.52128,0.89146,1.24492,0.0005075,0.0005075,0.0005075
32,66.8864,1.02282,0.53772,0.99649,0.94256,0.91886,0.96491,0.62652,1.52379,0.87133,1.23389,0.00048275,0.00048275,0.00048275
33,68.8646,0.98868,0.51261,0.96449,0.93741,0.94525,0.96568,0.63155,1.50158,0.80935,1.2294,0.000458,0.000458,0.000458
34,70.9121,1.04052,0.52364,0.99862,0.93506,0.93985,0.96248,0.63702,1.47824,0.7738,1.23412,0.00043325,0.00043325,0.00043325
35,72.958,0.97544,0.50941,0.9587,0.9172,0.9438,0.96461,0.62082,1.48081,0.8543,1.23149,0.0004085,0.0004085,0.0004085
36,74.9699,0.9746,0.51041,0.9708,0.91157,0.94178,0.96145,0.60875,1.47218,0.84024,1.23014,0.00038375,0.00038375,0.00038375
37,77.0243,0.98989,0.50657,0.97617,0.90162,0.94776,0.96348,0.61341,1.43925,0.85856,1.22181,0.000359,0.000359,0.000359
38,79.0217,0.97468,0.50655,0.95769,0.92082,0.95127,0.9649,0.6265,1.42975,0.89411,1.21106,0.00033425,0.00033425,0.00033425
39,81.024,0.94511,0.50187,0.96209,0.92283,0.95695,0.96417,0.62811,1.49416,0.89055,1.24006,0.0003095,0.0003095,0.0003095
40,83.0472,0.96979,0.49284,0.9316,0.95051,0.9323,0.96256,0.62153,1.51806,0.88896,1.26567,0.00028475,0.00028475,0.00028475
41,89.2324,0.96321,0.52322,0.96541,0.93036,0.92302,0.96045,0.62367,1.53292,0.80231,1.28414,0.00026,0.00026,0.00026
42,91.2457,0.96965,0.49045,0.96769,0.92451,0.92597,0.95348,0.62591,1.54852,0.77442,1.29814,0.00023525,0.00023525,0.00023525
43,93.3806,0.94508,0.48191,0.95488,0.92838,0.92876,0.9557,0.62739,1.49006,0.76408,1.25786,0.0002105,0.0002105,0.0002105
44,95.4204,0.95955,0.48554,0.95481,0.92637,0.91726,0.94428,0.61918,1.53687,0.73734,1.26627,0.00018575,0.00018575,0.00018575
45,97.5849,0.91087,0.45539,0.93523,0.9299,0.91012,0.9378,0.6088,1.59112,0.72988,1.29307,0.000161,0.000161,0.000161
46,99.5726,0.95712,0.45921,0.97814,0.9446,0.90276,0.94168,0.60974,1.60826,0.73423,1.29375,0.00013625,0.00013625,0.00013625
47,101.552,0.92508,0.45445,0.96517,0.92329,0.93022,0.95134,0.62346,1.57527,0.75979,1.273,0.0001115,0.0001115,0.0001115
