epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.36852,1.56261,6.70179,1.18303,0.19638,0.10467,0.03222,0.01916,1.42618,4.88425,1.0672,7.272e-05,7.272e-05,7.272e-05
2,8.68413,1.4303,2.41928,1.09914,0.40594,0.5247,0.42567,0.23579,1.44649,2.44888,1.06972,0.00015147,0.00015147,0.00015147
3,11.9811,1.34247,1.57181,1.04626,0.56305,0.58687,0.55628,0.34899,1.3785,1.65351,1.02484,0.000226981,0.000226981,0.000226981
4,15.3421,1.30188,1.30996,1.03025,0.57639,0.65825,0.63003,0.36785,1.41687,1.55129,1.05653,0.000299252,0.000299252,0.000299252
5,18.7066,1.24045,1.15061,1.01766,0.55076,0.84192,0.70232,0.44311,1.40372,1.32789,1.03688,0.000368283,0.000368283,0.000368283
6,22.0282,1.27861,1.09674,1.01358,0.63167,0.78475,0.7625,0.48381,1.3856,1.14754,1.0446,0.000434075,0.000434075,0.000434075
7,25.1721,1.21321,0.98427,1.00098,0.7361,0.70112,0.77975,0.51702,1.34872,0.95924,1.02601,0.000496627,0.000496627,0.000496627
8,28.3414,1.23185,0.94115,1.02423,0.77299,0.70688,0.78599,0.50022,1.43817,0.93117,1.05355,0.000555939,0.000555939,0.000555939
9,31.6246,1.24109,0.88078,1.00499,0.70692,0.74266,0.77924,0.49591,1.36752,0.9745,1.05,0.000612012,0.000612012,0.000612012
10,34.6346,1.1867,0.85469,1.0047,0.72828,0.78977,0.84404,0.53908,1.42435,0.88232,1.04805,0.000664844,0.000664844,0.000664844
11,37.7202,1.21554,0.84979,0.97891,0.8077,0.75709,0.84436,0.52992,1.40369,0.93712,1.02741,0.000714438,0.000714438,0.000714438
12,40.7944,1.21534,0.81495,0.99633,0.85439,0.64703,0.82336,0.52751,1.48791,0.96403,1.05788,0.00071102,0.00071102,0.00071102
13,43.8414,1.16141,0.77516,0.98283,0.74101,0.83049,0.83566,0.52083,1.37278,0.84434,1.02358,0.000693022,0.000693022,0.000693022
14,46.8354,1.16381,0.78822,0.97712,0.72768,0.73805,0.79008,0.49671,1.3376,0.89952,1.02108,0.000675023,0.000675023,0.000675023
15,49.9196,1.14098,0.73868,0.96654,0.86788,0.77211,0.86741,0.53064,1.42031,0.83717,1.04093,0.000657025,0.000657025,0.000657025
16,53.0626,1.12488,0.71767,0.97407,0.88093,0.74998,0.88428,0.55058,1.40222,0.87186,1.03925,0.000639027,0.000639027,0.000639027
17,56.0512,1.12264,0.691,0.97074,0.77327,0.83589,0.90476,0.57518,1.32789,0.81512,1.0298,0.000621029,0.000621029,0.000621029
18,59.4046,1.11811,0.69732,0.9496,0.87122,0.83301,0.90996,0.58506,1.3478,0.84032,1.03101,0.000603031,0.000603031,0.000603031
19,62.4888,1.10801,0.69555,0.9527,0.8728,0.83308,0.90324,0.5833,1.44315,0.9195,1.06676,0.000585032,0.000585032,0.000585032
20,65.57,1.10025,0.66233,0.95591,0.90511,0.88251,0.91601,0.59065,1.40522,0.87838,1.05999,0.000567034,0.000567034,0.000567034
21,68.6805,1.08402,0.64495,0.96018,0.83443,0.85298,0.91668,0.59493,1.43893,0.84686,1.05935,0.000549036,0.000549036,0.000549036
22,71.6929,1.0334,0.63363,0.9399,0.91449,0.78069,0.91417,0.59235,1.36325,0.82463,1.03064,0.000531038,0.000531038,0.000531038
23,74.8309,1.08344,0.62227,0.94583,0.87176,0.86748,0.93353,0.61706,1.51729,0.78359,1.09159,0.00051304,0.00051304,0.00051304
24,77.7887,1.06441,0.65623,0.96861,0.8985,0.80972,0.95377,0.61413,1.47713,0.77817,1.07363,0.000495041,0.000495041,0.000495041
25,80.7162,1.03859,0.61306,0.95039,0.82722,0.87629,0.94397,0.61061,1.41281,0.75659,1.05001,0.000477043,0.000477043,0.000477043
26,83.604,1.02364,0.59374,0.93999,0.83111,0.92341,0.94465,0.61133,1.41008,0.73231,1.05788,0.000459045,0.000459045,0.000459045
27,86.9106,1.02651,0.60226,0.93112,0.84069,0.93931,0.94576,0.61086,1.43186,0.72643,1.05305,0.000441047,0.000441047,0.000441047
28,89.8997,0.99888,0.58232,0.94406,0.90523,0.90918,0.95438,0.64559,1.39766,0.69378,1.04957,0.000423049,0.000423049,0.000423049
29,92.9099,0.99526,0.57839,0.92772,0.90979,0.93324,0.95525,0.62371,1.38459,0.68459,1.05266,0.00040505,0.00040505,0.00040505
30,95.8296,1.0076,0.57483,0.92572,0.91889,0.93782,0.95817,0.63263,1.4115,0.73707,1.06251,0.000387052,0.000387052,0.000387052
31,98.7554,0.99892,0.58536,0.91914,0.8845,0.94112,0.93654,0.62812,1.42104,0.70957,1.07466,0.000369054,0.000369054,0.000369054
32,101.816,0.9704,0.55,0.92056,0.88659,0.91283,0.93584,0.62042,1.40663,0.71385,1.05376,0.000351056,0.000351056,0.000351056
33,104.786,0.94974,0.5373,0.90789,0.91631,0.90702,0.95902,0.62226,1.39927,0.70641,1.04783,0.000333058,0.000333058,0.000333058
34,107.827,0.94872,0.5401,0.93516,0.89383,0.94257,0.94758,0.62896,1.4028,0.69572,1.04732,0.000315059,0.000315059,0.000315059
35,110.918,0.96278,0.52865,0.91612,0.91013,0.9123,0.93315,0.62861,1.35039,0.68043,1.02482,0.000297061,0.000297061,0.000297061
36,114.218,0.94047,0.52591,0.91485,0.91703,0.93832,0.95231,0.65948,1.35299,0.65575,1.02957,0.000279063,0.000279063,0.000279063
37,117.36,0.9098,0.51708,0.90902,0.92847,0.91961,0.95772,0.64854,1.37303,0.66885,1.03463,0.000261065,0.000261065,0.000261065
38,120.352,0.92078,0.50761,0.92632,0.91438,0.94188,0.96439,0.64992,1.40334,0.69205,1.04526,0.000243067,0.000243067,0.000243067
39,123.343,0.92075,0.5128,0.90389,0.91283,0.93754,0.95926,0.65797,1.35409,0.67947,1.0372,0.000225068,0.000225068,0.000225068
40,126.533,0.92216,0.50686,0.90218,0.92486,0.95471,0.96205,0.64867,1.38174,0.66703,1.05092,0.00020707,0.00020707,0.00020707
41,153.295,0.94762,0.52762,0.90125,0.93053,0.94877,0.96368,0.64932,1.34915,0.65216,1.04142,0.000189072,0.000189072,0.000189072
42,156.227,0.89683,0.5043,0.90183,0.92347,0.95543,0.97242,0.64908,1.34883,0.65266,1.03845,0.000171074,0.000171074,0.000171074
43,159.049,0.90629,0.48311,0.89417,0.92777,0.92706,0.97049,0.65983,1.36781,0.65749,1.03967,0.000153076,0.000153076,0.000153076
44,162.026,0.90735,0.4834,0.90391,0.91914,0.92805,0.96643,0.65955,1.35991,0.6739,1.02982,0.000135077,0.000135077,0.000135077
45,164.94,0.89785,0.47479,0.88688,0.92756,0.93103,0.96802,0.66156,1.35528,0.66316,1.02783,0.000117079,0.000117079,0.000117079
46,167.925,0.89805,0.47756,0.89517,0.93296,0.93224,0.96749,0.66254,1.37363,0.67474,1.03866,9.9081e-05,9.9081e-05,9.9081e-05
47,171.111,0.89535,0.46845,0.88821,0.93124,0.92066,0.96326,0.65374,1.37248,0.66873,1.03563,8.10828e-05,8.10828e-05,8.10828e-05
48,173.922,0.88772,0.45534,0.87936,0.92677,0.91958,0.96276,0.64879,1.34802,0.6646,1.0278,6.30846e-05,6.30846e-05,6.30846e-05
49,176.671,0.85099,0.44604,0.88247,0.93391,0.91531,0.96333,0.64951,1.35751,0.66465,1.03088,4.50864e-05,4.50864e-05,4.50864e-05
50,179.56,0.87233,0.46571,0.89023,0.93057,0.91614,0.95876,0.64927,1.36373,0.66326,1.03445,2.70882e-05,2.70882e-05,2.70882e-05
