epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,24.3591,0.88237,1.44867,1.23717,0.91119,0.51932,1,0.74625,0.61358,0.51932,1,0.74625,0.4975,0.85751,0.95437,1.20636,1.04089,0.000199577,0.000199577,0.000199577
33,25.8572,0.91357,0.89438,1.14001,0.91351,0.56086,1,0.74625,0.57834,0.56086,1,0.74625,0.56591,0.77278,0.92902,0.96475,1.038,0.000195452,0.000195452,0.000195452
34,27.2022,0.76107,1.45534,1.32138,0.84182,0.56086,1,0.74625,0.57834,0.56086,1,0.74625,0.56591,0.77278,0.92902,0.96475,1.038,0.000190668,0.000190668,0.000190668
35,28.4811,0.8532,0.75304,1.11821,0.87022,0.50431,1,0.74625,0.56428,0.50431,1,0.74625,0.5246,0.86005,0.89486,0.99284,1.05276,0.000185224,0.000185224,0.000185224
36,29.7783,0.90962,0.77037,1.11087,0.94783,0.50431,1,0.74625,0.56428,0.50431,1,0.74625,0.5246,0.86005,0.89486,0.99284,1.05276,0.000179119,0.000179119,0.000179119
37,31.2034,0.9316,0.90514,1.11011,0.92598,0.44074,1,0.74625,0.56715,0.44074,1,0.74625,0.52237,0.97168,0.83514,1.18156,1.06244,0.000172354,0.000172354,0.000172354
38,32.3537,0.97052,1.00635,0.99074,0.86127,0.44074,1,0.74625,0.56715,0.44074,1,0.74625,0.52237,0.97168,0.83514,1.18156,1.06244,0.00016493,0.00016493,0.00016493
39,33.7408,0.82523,1.63356,1.01404,0.87303,0.98611,0.5,0.74625,0.56715,0.98611,0.5,0.74625,0.50745,0.9507,0.88891,1.27719,1.08779,0.000156845,0.000156845,0.000156845
40,34.9467,0.85434,1.03072,1.09105,0.82715,0.98611,0.5,0.74625,0.56715,0.98611,0.5,0.74625,0.50745,0.9507,0.88891,1.27719,1.08779,0.0001481,0.0001481,0.0001481
41,40.5727,0.68944,0.55223,1.42675,0.92868,0.98618,0.5,0.74625,0.61358,0.98618,0.5,0.74625,0.54725,0.81181,1.11249,1.22557,1.07626,0.000138694,0.000138694,0.000138694
42,41.9348,0.848,0.81098,1.39873,0.95268,0.98618,0.5,0.74625,0.61358,0.98618,0.5,0.74625,0.54725,0.81181,1.11249,1.22557,1.07626,0.000128629,0.000128629,0.000128629
43,43.4037,0.67022,0.78761,1.40586,0.94371,0.98595,0.5,0.74625,0.597,0.98595,0.5,0.74625,0.48921,0.92139,1.65402,1.22978,1.0604,0.000117904,0.000117904,0.000117904
44,44.5045,0.73143,1.00093,1.4032,0.77663,0.98595,0.5,0.74625,0.597,0.98595,0.5,0.74625,0.48921,0.92139,1.65402,1.22978,1.0604,0.000106518,0.000106518,0.000106518
45,45.9616,1.01132,0.62964,1.39587,0.93686,0.98524,0.5,0.74625,0.58042,0.98524,0.5,0.74625,0.48921,0.80656,2.33424,1.03009,1.04711,9.44722e-05,9.44722e-05,9.44722e-05
46,47.0878,0.92989,0.61434,1.25486,0.93166,0.98524,0.5,0.74625,0.58042,0.98524,0.5,0.74625,0.48921,0.80656,2.33424,1.03009,1.04711,8.17663e-05,8.17663e-05,8.17663e-05
47,48.4336,0.7769,0.67777,1.30568,0.97278,0.41906,1,0.74625,0.58871,0.41906,1,0.74625,0.4975,0.74358,2.56624,0.91061,1.04157,6.84003e-05,6.84003e-05,6.84003e-05
48,49.6146,0.67374,1.13523,1.31455,0.78723,0.41906,1,0.74625,0.58871,0.41906,1,0.74625,0.4975,0.74358,2.56624,0.91061,1.04157,5.43742e-05,5.43742e-05,5.43742e-05
49,50.9849,0.64605,1.22099,1.30789,0.85786,0.41615,1,0.74625,0.58871,0.41615,1,0.74625,0.4975,0.72558,2.43809,0.86256,1.03913,3.96879e-05,3.96879e-05,3.96879e-05
50,52.3972,0.88501,0.9877,1.29247,0.90818,0.41615,1,0.74625,0.58871,0.41615,1,0.74625,0.4975,0.72558,2.43809,0.86256,1.03913,2.43415e-05,2.43415e-05,2.43415e-05
