epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,20.6451,0.61034,1.02126,1.11935,0.87147,0.92924,1,0.995,0.76843,0.92924,1,0.995,0.73651,0.97379,3.1619,1.26613,1.06999,0.000205844,0.000205844,0.000205844
31,21.3039,0.62532,0.81928,1.0826,0.90141,0.94634,1,0.995,0.76272,0.94634,1,0.995,0.7737,1.01343,3.40438,1.18601,1.09499,0.000203041,0.000203041,0.000203041
32,21.9612,0.73318,0.90448,1.19762,0.96525,0.94634,1,0.995,0.76272,0.94634,1,0.995,0.7737,1.01343,3.40438,1.18601,1.09499,0.000199577,0.000199577,0.000199577
33,22.6207,0.64747,0.87891,0.99621,0.89464,0.93069,1,0.995,0.7729,0.93069,1,0.995,0.75212,0.935,2.90916,1.16649,1.0429,0.000195452,0.000195452,0.000195452
34,23.2075,0.67021,0.96556,0.84076,0.84522,0.93069,1,0.995,0.7729,0.93069,1,0.995,0.75212,0.935,2.90916,1.16649,1.0429,0.000190668,0.000190668,0.000190668
35,23.8325,0.52816,1.01297,0.94918,0.8354,0.88976,0.984,0.995,0.75986,0.88976,0.984,0.995,0.77061,0.91374,2.24714,1.29514,1.0168,0.000185224,0.000185224,0.000185224
36,24.4321,0.61374,0.73086,1.16574,0.90145,0.88976,0.984,0.995,0.75986,0.88976,0.984,0.995,0.77061,0.91374,2.24714,1.29514,1.0168,0.000179119,0.000179119,0.000179119
37,25.0496,0.66344,0.8615,1.05028,0.92135,0.64548,0.75,0.83389,0.6787,0.64548,0.75,0.83389,0.67713,0.9378,1.92743,1.3061,0.98491,0.000172354,0.000172354,0.000172354
38,25.6511,0.56596,0.86238,0.95096,0.91176,0.64548,0.75,0.83389,0.6787,0.64548,0.75,0.83389,0.67713,0.9378,1.92743,1.3061,0.98491,0.00016493,0.00016493,0.00016493
39,26.3188,0.63124,0.9664,1.02035,0.89815,0.94787,0.625,0.77453,0.65927,0.94787,0.625,0.77453,0.62039,0.94483,1.83815,1.27597,0.95986,0.000156845,0.000156845,0.000156845
40,26.9394,0.52408,0.6398,0.78938,0.86963,0.94787,0.625,0.77453,0.65927,0.94787,0.625,0.77453,0.62039,0.94483,1.83815,1.27597,0.95986,0.0001481,0.0001481,0.0001481
41,30.782,0.55814,0.71809,1.25089,0.87623,0.90246,0.625,0.75839,0.64602,0.90246,0.625,0.75839,0.61569,0.92702,1.89305,1.26953,0.93597,0.000138694,0.000138694,0.000138694
42,31.5096,0.45421,0.57927,1.25387,0.83417,0.90246,0.625,0.75839,0.64602,0.90246,0.625,0.75839,0.61569,0.92702,1.89305,1.26953,0.93597,0.000128629,0.000128629,0.000128629
43,32.2121,0.48883,0.70965,1.16596,0.86467,0.71506,0.75,0.79262,0.6739,0.71506,0.75,0.79262,0.67416,0.86701,1.85965,1.20435,0.90035,0.000117904,0.000117904,0.000117904
44,32.8365,0.50322,0.73664,1.17478,0.84298,0.71506,0.75,0.79262,0.6739,0.71506,0.75,0.79262,0.67416,0.86701,1.85965,1.20435,0.90035,0.000106518,0.000106518,0.000106518
45,33.4843,0.60652,0.82486,1.18235,0.85765,0.93057,0.74349,0.84857,0.71563,0.93057,0.74349,0.84857,0.71737,0.88734,1.89822,1.15884,0.89705,9.44722e-05,9.44722e-05,9.44722e-05
46,34.0862,0.52852,0.63463,1.04707,0.85103,0.93057,0.74349,0.84857,0.71563,0.93057,0.74349,0.84857,0.71737,0.88734,1.89822,1.15884,0.89705,8.17663e-05,8.17663e-05,8.17663e-05
47,34.7136,0.54612,0.51514,1.1493,0.85402,0.9346,0.74464,0.87556,0.7263,0.9346,0.74464,0.87556,0.73031,0.89019,1.95402,1.13039,0.893,6.84003e-05,6.84003e-05,6.84003e-05
48,35.3364,0.4887,0.51386,1.02333,0.84107,0.9346,0.74464,0.87556,0.7263,0.9346,0.74464,0.87556,0.73031,0.89019,1.95402,1.13039,0.893,5.43742e-05,5.43742e-05,5.43742e-05
49,35.9502,0.57329,0.6444,1.08399,0.78271,0.93427,0.74495,0.8575,0.71781,0.93427,0.74495,0.8575,0.72184,0.87493,1.99545,1.11294,0.88958,3.96879e-05,3.96879e-05,3.96879e-05
50,36.5849,0.60599,0.74423,1.18726,0.8097,0.93427,0.74495,0.8575,0.71781,0.93427,0.74495,0.8575,0.72184,0.87493,1.99545,1.11294,0.88958,2.43415e-05,2.43415e-05,2.43415e-05
